date,prices
1-Jan-01,108.3962845
1-Feb-01,109.2216538
1-Mar-01,110.1499087
1-Apr-01,111.1531329
1-May-01,112.0452182
1-Jun-01,112.9061242
1-Jul-01,113.6711558
1-Aug-01,114.2383332
1-Sep-01,114.6085862
1-Oct-01,114.8586074
1-Nov-01,114.9734603
1-Dec-01,115.1646245
1-Jan-02,115.4214723
1-Feb-02,116.1809424
1-Mar-02,117.3670741
1-Apr-02,118.6853463
1-May-02,120.0652481
1-Jun-02,121.327941
1-Jul-02,122.3331825
1-Aug-02,123.1160558
1-Sep-02,123.7533716
1-Oct-02,124.2379656
1-Nov-02,124.635398
1-Dec-02,124.9158698
1-Jan-03,125.3323229
1-Feb-03,126.1743323
1-Mar-03,127.1870951
1-Apr-03,128.3523453
1-May-03,129.5521142
1-Jun-03,130.8419354
1-Jul-03,132.0580488
1-Aug-03,132.9187473
1-Sep-03,133.5726637
1-Oct-03,134.3103405
1-Nov-03,134.9860352
1-Dec-03,135.7058902
1-Jan-04,136.4323164
1-Feb-04,137.8712132
1-Mar-04,139.7697821
1-Apr-04,141.9253508
1-May-04,144.0844798
1-Jun-04,146.0018986
1-Jul-04,147.5681773
1-Aug-04,148.7584784
1-Sep-04,149.5901499
1-Oct-04,150.5171638
1-Nov-04,151.5091518
1-Dec-04,152.5406967
1-Jan-05,153.7215478
1-Feb-05,155.5230378
1-Mar-05,157.69942
1-Apr-05,160.0649354
1-May-05,162.3711386
1-Jun-05,164.5656481
1-Jul-05,166.4040587
1-Aug-05,167.7821304
1-Sep-05,168.8234905
1-Oct-05,169.4916822
1-Nov-05,169.6893212
1-Dec-05,169.9533066
1-Jan-06,170.4007494
1-Feb-06,171.2304098
1-Mar-06,172.4863464
1-Apr-06,173.5292646
1-May-06,174.5120714
1-Jun-06,175.1139107
1-Jul-06,175.058308
1-Aug-06,174.8812651
1-Sep-06,174.3392387
1-Oct-06,173.8370183
1-Nov-06,172.936005
1-Dec-06,172.6202979
1-Jan-07,172.7378792
1-Feb-07,172.6884655
1-Mar-07,173.2370893
1-Apr-07,173.4802863
1-May-07,173.7904393
1-Jun-07,173.6131885
1-Jul-07,172.8563647
1-Aug-07,171.5785882
1-Sep-07,170.0252854
1-Oct-07,168.0986073
1-Nov-07,166.2757238
1-Dec-07,164.6978464
1-Jan-08,163.2270703
1-Feb-08,162.0935767
1-Mar-08,161.452857
1-Apr-08,160.8589985
1-May-08,160.4970587
1-Jun-08,159.9515568
1-Jul-08,158.7673573
1-Aug-08,157.30708
1-Sep-08,155.76751
1-Oct-08,153.3170244
1-Nov-08,150.8612015
1-Dec-08,148.3009526
1-Jan-09,146.0921529
1-Feb-09,144.7237494
1-Mar-09,144.1534759
1-Apr-09,143.7844151
1-May-09,144.1665367
1-Jun-09,144.6095145
1-Jul-09,144.4788346
1-Aug-09,144.0607099
1-Sep-09,143.8444878
1-Oct-09,143.6444802
1-Nov-09,143.3412308
1-Dec-09,142.0378717
1-Jan-10,140.9319866
1-Feb-10,140.9077961
1-Mar-10,141.4876267
1-Apr-10,142.0133559
1-May-10,142.282448
1-Jun-10,141.8750093
1-Jul-10,140.591686
1-Aug-10,139.3581086
1-Sep-10,138.1451036
1-Oct-10,137.2567146
1-Nov-10,136.5566299
1-Dec-10,135.4298613
1-Jan-11,134.3644047
1-Feb-11,133.9493612
1-Mar-11,134.0905928
1-Apr-11,134.3290427
1-May-11,134.5878099
1-Jun-11,134.75323
1-Jul-11,134.3099562
1-Aug-11,133.7480602
1-Sep-11,132.9935574
1-Oct-11,132.3258172
1-Nov-11,131.9731923
1-Dec-11,131.2672536
1-Jan-12,130.7765667
1-Feb-12,131.333118
1-Mar-12,132.6302987
1-Apr-12,133.9105327
1-May-12,135.1653502
1-Jun-12,136.2801702
1-Jul-12,136.7885067
1-Aug-12,137.0398569
1-Sep-12,137.1522976
1-Oct-12,137.4623787
1-Nov-12,137.9752565
1-Dec-12,138.0273734
1-Jan-13,138.5131628
1-Feb-13,139.6456065
1-Mar-13,141.4959928
1-Apr-13,143.4639039
1-May-13,145.4533583
1-Jun-13,147.150093
1-Jul-13,148.195624
1-Aug-13,148.6413423
1-Sep-13,148.7949427
1-Oct-13,148.9241295
1-Nov-13,149.043052
1-Dec-13,149.0551342
1-Jan-14,149.0230118
1-Feb-14,149.8948969
1-Mar-14,151.4035662
1-Apr-14,152.7385242
1-May-14,154.1150861
1-Jun-14,155.2702125
1-Jul-14,155.6363943
1-Aug-14,155.6908763
1-Sep-14,155.5366837
1-Oct-14,155.5811895
1-Nov-14,155.6476751
1-Dec-14,155.5868278
1-Jan-15,155.6555425
1-Feb-15,156.5553329
1-Mar-15,158.3429112
1-Apr-15,159.9991569
1-May-15,161.6480593
1-Jun-15,162.8762665
1-Jul-15,163.4487326
1-Aug-15,163.7134698
1-Sep-15,163.657429
1-Oct-15,163.6135775
1-Nov-15,163.7923341
1-Dec-15,163.7935837
1-Jan-16,163.9210972
1-Feb-16,164.8854925
1-Mar-16,166.7220702
1-Apr-16,168.4021901
1-May-16,170.1914068
1-Jun-16,171.5340866
1-Jul-16,172.2364939
1-Aug-16,172.4324002
1-Sep-16,172.4544371
1-Oct-16,172.6250721
1-Nov-16,172.8906567
1-Dec-16,172.8594969
1-Jan-17,173.0227771
1-Feb-17,174.3788138
1-Mar-17,176.6695532
1-Apr-17,178.6869698
1-May-17,180.5782257
1-Jun-17,182.1318588
1-Jul-17,182.8100055
1-Aug-17,183.1298524
1-Sep-17,183.1405062
1-Oct-17,183.4836778
1-Nov-17,183.8097869
1-Dec-17,183.8820225
1-Jan-18,184.379675
1-Feb-18,186.113984
3-Mar-18,188.4301734
1-Apr-18,190.5733442
1-May-18,192.4556422
1-Jun-18,193.6654703
1-Jul-18,193.9699
1-Aug-18,194.0700022
1-Sep-18,193.6939152
1-Oct-18,193.6591908
1-Nov-18,193.0387125
1-Dec-18,192.5836121
1-Jan-19,192.5904077
1-Feb-19,193.9785944
3-Mar-19,196.0982654
1-Apr-19,197.9837696
1-May-19,199.8353686
1-Jun-19,201.0315708
1-Jul-19,201.4192158
1-Aug-19,201.3448913
1-Sep-19,201.2009297
1-Oct-19,201.5056741
1-Nov-19,201.3904046
1-Dec-19,201.5817881
