date,prices
1-Jan-01,108.5148167
1-Feb-01,109.3332681
1-Mar-01,110.2959158
1-Apr-01,111.2972855
1-May-01,112.1972686
1-Jun-01,113.0373493
1-Jul-01,113.8063091
1-Aug-01,114.3428604
1-Sep-01,114.7362095
1-Oct-01,114.9666624
1-Nov-01,115.0596753
1-Dec-01,115.2493342
1-Jan-02,115.5227853
1-Feb-02,116.2910177
1-Mar-02,117.4914942
1-Apr-02,118.8175093
1-May-02,120.2135066
1-Jun-02,121.4833197
1-Jul-02,122.4970913
1-Aug-02,123.2667884
1-Sep-02,123.9014577
1-Oct-02,124.4049011
1-Nov-02,124.8125086
1-Dec-02,125.0756048
1-Jan-03,125.5018061
1-Feb-03,126.3560398
1-Mar-03,127.3672244
1-Apr-03,128.5342474
1-May-03,129.7558855
1-Jun-03,131.0603588
1-Jul-03,132.2710596
1-Aug-03,133.1440659
1-Sep-03,133.7786762
1-Oct-03,134.5113332
1-Nov-03,135.2046715
1-Dec-03,135.9263406
1-Jan-04,136.6650247
1-Feb-04,138.1311393
1-Mar-04,140.0386294
1-Apr-04,142.1975307
1-May-04,144.3802136
1-Jun-04,146.3190096
1-Jul-04,147.8792409
1-Aug-04,149.0694921
1-Sep-04,149.9037602
1-Oct-04,150.8288337
1-Nov-04,151.8566156
1-Dec-04,152.8924216
1-Jan-05,154.0432318
1-Feb-05,155.9042374
1-Mar-05,158.1070622
1-Apr-05,160.4734889
1-May-05,162.7917884
1-Jun-05,165.0210952
1-Jul-05,166.8680947
1-Aug-05,168.2227341
1-Sep-05,169.2758688
1-Oct-05,169.9623833
1-Nov-05,170.1427216
1-Dec-05,170.4148881
1-Jan-06,170.8452969
1-Feb-06,171.6880916
1-Mar-06,172.9417774
1-Apr-06,173.9809783
1-May-06,174.9346428
1-Jun-06,175.5387765
1-Jul-06,175.456097
1-Aug-06,175.226506
1-Sep-06,174.7208966
1-Oct-06,174.1649162
1-Nov-06,173.270961
1-Dec-06,172.9564568
1-Jan-07,173.019807
1-Feb-07,173.0473649
1-Mar-07,173.5812364
1-Apr-07,173.8426551
1-May-07,174.1375124
1-Jun-07,173.988279
1-Jul-07,173.2133004
1-Aug-07,171.9091117
1-Sep-07,170.3604525
1-Oct-07,168.4031537
1-Nov-07,166.5704545
1-Dec-07,164.9956022
1-Jan-08,163.4965938
1-Feb-08,162.3689707
1-Mar-08,161.74089
1-Apr-08,161.1106293
1-May-08,160.74843
1-Jun-08,160.1819079
1-Jul-08,158.9937286
1-Aug-08,157.517999
1-Sep-08,155.9765135
1-Oct-08,153.5205437
1-Nov-08,151.049216
1-Dec-08,148.4730322
1-Jan-09,146.2909646
1-Feb-09,145.0033703
1-Mar-09,144.478559
1-Apr-09,144.1152628
1-May-09,144.5301
1-Jun-09,144.9887127
1-Jul-09,144.874545
1-Aug-09,144.443979
1-Sep-09,144.2121899
1-Oct-09,143.9564709
1-Nov-09,143.6254398
1-Dec-09,142.3142033
1-Jan-10,141.2065707
1-Feb-10,141.1423501
1-Mar-10,141.7258491
1-Apr-10,142.2100074
1-May-10,142.4306999
1-Jun-10,141.9751686
1-Jul-10,140.6874507
1-Aug-10,139.455427
1-Sep-10,138.2438162
1-Oct-10,137.3508627
1-Nov-10,136.648734
1-Dec-10,135.5137095
1-Jan-11,134.4315667
1-Feb-11,134.0310146
1-Mar-11,134.1768108
1-Apr-11,134.376963
1-May-11,134.6274768
1-Jun-11,134.8101723
1-Jul-11,134.3676082
1-Aug-11,133.7855658
1-Sep-11,133.0243813
1-Oct-11,132.3529521
1-Nov-11,131.9967301
1-Dec-11,131.316461
1-Jan-12,130.8138628
1-Feb-12,131.3422615
1-Mar-12,132.6638218
1-Apr-12,133.9630305
1-May-12,135.2396191
1-Jun-12,136.364935
1-Jul-12,136.8955189
1-Aug-12,137.1265327
1-Sep-12,137.3004416
1-Oct-12,137.5785774
1-Nov-12,138.0954445
1-Dec-12,138.1622316
1-Jan-13,138.6615866
1-Feb-13,139.812843
1-Mar-13,141.7032791
1-Apr-13,143.7007941
1-May-13,145.7428671
1-Jun-13,147.4328552
1-Jul-13,148.4918655
1-Aug-13,148.9178805
1-Sep-13,149.1098721
1-Oct-13,149.2275197
1-Nov-13,149.342839
1-Dec-13,149.3575094
1-Jan-14,149.3570821
1-Feb-14,150.1784936
1-Mar-14,151.7318305
1-Apr-14,153.0721646
1-May-14,154.4526172
1-Jun-14,155.6061183
1-Jul-14,156.027841
1-Aug-14,156.0525437
1-Sep-14,155.9329356
1-Oct-14,155.9613417
1-Nov-14,156.0619198
1-Dec-14,155.9235672
1-Jan-15,156.0145984
1-Feb-15,156.89357
1-Mar-15,158.686221
1-Apr-15,160.3459047
1-May-15,161.9983806
1-Jun-15,163.251823
1-Jul-15,163.8410772
1-Aug-15,164.0660767
1-Sep-15,163.9950567
1-Oct-15,163.9248491
1-Nov-15,164.1001898
1-Dec-15,164.0995638
1-Jan-16,164.3018832
1-Feb-16,165.3364637
1-Mar-16,167.2003866
1-Apr-16,168.9214084
1-May-16,170.6681201
1-Jun-16,171.9819188
1-Jul-16,172.6817134
1-Aug-16,172.9111032
1-Sep-16,172.8997254
1-Oct-16,173.0927544
1-Nov-16,173.3990725
1-Dec-16,173.3264919
1-Jan-17,173.5294301
